State,Action,Q-Value
833,0,8.458607337309695
833,1,0.0
833,2,0.0
833,3,0.0
530,0,7.0
530,1,0.0
530,2,0.0
530,3,0.0
3090,0,-0.7
3090,1,6.6817630303335465
3090,2,0.0
3090,3,0.0
1058,0,-70.0
1058,1,1.8037841232921425
1058,2,0.0
1058,3,0.0
1666,0,0.7005017245005245
1666,1,0.0
1666,2,0.0
1666,3,0.0
1060,0,2.2515049126622717
1060,1,0.0
1060,2,0.0
1060,3,0.0
